,input,reply
0,is this game playable on windows 7,yes it is
1,works with ps4,unfortunately no
2,how long is usb cable,approximately 4 feet
3,does this joystick work with windows 7,simple answer yes
4,is this the older and bigger play station 2,yes it is
5,can it play ps1 games,absolutely
6,anyone know the length on these,about 20 inches
7,could this game run on a windows 7,yes perfectly fine
8,could it run on a mac,i dont know
9,is it compatible with windows 81,yes it is
10,is this compatible to a windows 81,yes it is
11,will this work with wii band hero,yes it will
12,will the leatherette ear cushion fit this headset,yes it will
13,will it work on windows 7,yes very well
14,will it work in the uk,yes it will
15,will these work for wii u,yes they will
16,how long is the cable for this adapter,36 inches
17,can this be played without an xbox live membership,yes it can
18,can this be played online with friends,yes it can
19,is this game a third person shooter,yes it is
20,will the code work internationally like all over the world,yes it should
21,is this windows 81 compatible,ofcourse
22,on what programs vista 7 xp does it work on,both
23,will this work with windows 81,yes it will
24,does this work with motorstorm apocolypse,yes very well
25,will this work on windows 8,ofcourse
26,is the sever either for multiplayer or zombie still working,yes it is
27,is the map pack dlc code or in the disc,yes it is
28,does this game brings multi language,yes it has
29,is it compatible with macs,dont know
30,is there multi player blackjack on this cd,yes there is
31,how long is the cable,about 6 ft
32,will it work with the xbox360 elite console,yes it should
33,can this game be played without the steering wheel,yes it can
34,will this work with windows 8 on a pc,yes it would
35,is it in english,yes it is
36,does anyone know if it workshop in europe as well,i dont know
37,will this game play on a nintendo 2ds,yes it will
38,is it a free roaming game,yes it is
39,can this be put on top of vinyl decal stickers,i think so
40,will this case fit a new 3ds xl,yes perfectly
41,will play on windows 81,yes it will
42,can the backlight leds change to red,yes they can
43,can this stream netflix and amazon prime videos,yes it can
44,do these work with a ps3,yes they do
45,are the keys noisy,not at all
46,work with xbox 360 e console,yes it would
47,will it play on sony ps3 north america,yes it will
48,will this run on windows 81,yes it will
49,lg 103taul00734 heat amp air conditioner,sorry it doesnt
50,can you use this for destiny,yes absolutely
51,have spanish subtittles,yes it has
52,can this be played offline once downloaded,yes it can
53,will this game work with windows eight,yes it will
54,what is the length of the cord,about 6 feet
55,is this version an american eeuu or american canadian,dont know
56,is there a multiplayer mode,yes there is
57,how long is the cord,about 6 feet
58,is this game open world,yes it is
59,is this compatable with windows 8,yes it is
60,is the xbox one stereo headset adapter included,yes it is
61,is there a headset included,unfortunately no
62,is yoshis new island suitable for 6 year old,most definitely
63,will the wii u pro controller work with this game,i dont know
64,can it record with the roxio game capture standarded,yes it can
65,can you play multiplayer split screen offline,unfortunately not
66,how long is the cable,about 4 feet
67,are these updated to the latest firmware before being shipped,yes they are
68,is there polish language int his game,sorry dont know
69,is it compatible with mac,yes it is
70,is the material on the earcups leather of synthetic,synthetic
71,will this game work with windows 8,yes it will
72,is kenshiro a playable character,yes he is
73,will it work for nokia,sorry no
74,can this be used with the xbox one,yes it can
75,is this kinect compatible,yes it is
76,will this work on my dell inspiron laptop,yes it should
77,can this be downloaded on more than one computer,yes it can
78,is this game going to be in english,yes of course
79,is the game region free,yes it is
80,is this the dualshock 3 wireless controller,yes it is
81,is this a hard copy or a download,hard copy
82,do these card sleeves work with the resistance avalon,yes they do
83,are the tiles white or ivory,white
84,does it come with a remote and battery pack,yes both
85,do the character tiles have numbers on them,yes they do
86,what color are the tiles,white
87,what is the minimum amount of players,3 8 players
88,is it the classic board game,yes it is
89,how tall is this action figurer,about 3 inches
90,is the case made in china,yes it is
91,how many inches deep is it,two feet
92,do the melissa and doug chunky puzzles fit in this,no they dont
93,at what age,4 and up
94,are they plastic,they are plastic
95,are the handle bars adjustable or just the seat,both
96,are the grommets made of metal,yes they are
97,do the wheels move,yes they do
98,can these be taken apart and put back together,yes they can
99,where is this dollhouse made,china of course
100,what are the length of these rhythm sticks,about 12 inches
101,is this a level 2,yes it is
102,should i buy it,of course
103,how tall is refrigerator,6 12 inches
104,how tall is this princess leia,about 3 inches
105,hear thru walls,not really
106,could someone please tell me where this guitar is made,made in china
107,does this balance walkera h500 propellers,i think so
108,is this rerailer compatable with older n gauge track,dont know sorry
109,what kind of plastic are these made from,i dont know
110,can the engine pack be mailed,mine was
111,do the vinyl dipped chains have a new plastic smell,not at all
112,would this be good for use with 18 dolls,yes it would
113,do the 2 cans come with the truck,yes they do
114,are these different colors,yes they are
115,what is the height of the counter,20 inches
116,do his arms and legs move,yes they do
117,is this manufactured in usa,yes it is
118,can it use at the back yard grass,yes absolutely
119,what size are the pins,about 3 4 inches
120,whats the total length of trailer,34 inches
121,how long does the cycle take,about a month
122,81 round but how high is it thanks,about two feet
123,is this set compatabile with imaginarium wooden tracks,yes they are
124,can you use the progarm for xp,i think so
125,how long is the net,about 15 feet
126,what are the sizes of figures,5 inches
127,does it come with a brush,no they dont
128,how long is this car,about 15 inches
129,where is it made,thailand
130,how tall is it,about 3 feet
131,what size are the playing pieces in the 11 set,about 34
132,does it work for american girl dols,absolutely not
133,how big is the great white in this set,about 4 inches
134,is it compatible with windows 7,yes it is
135,is this product made by maple landmark made in usa,yes it is
136,are the engine and caboose included in the 2560 price,yes they are
137,what are the dimensions of the straight landing strip,approximately 6 inches
138,real or fake,its real
139,are the lock and keys easy to open,yes they are
140,is there more than one key included,yes there is
141,where was this product made,made in china
142,how long is the rope,about 8 feet
143,unflated will this fit in a suitcase,yes it will
144,how big is this in inches,10 inches
145,do the front wheels swivel,yes they do
146,how long is the tail,about 4 feet
147,is this made in china,yes it is
148,what is the package weight,9 pounds
149,is the white part dry erase,yes it is
150,how big is the mouth opening,1 inch
151,is metal or plastic,its plastic
152,is this a frame and swing or swing only,both
153,how tall are the dolls,4 inches
154,are the colors evenly distributed,yes they are
155,is the rainbow lantern attached to the happy birthday banner,yes it is
156,is it made of paper or plastic,its plastic
157,where are these made,made in china
158,is this the 149 cubic foot tank,yes it is
159,is this the international re release,yes it is
160,what is the country of origin,united states
161,what s the height of the slide,about two feet
162,how big is it,about 2 inches
163,can it cover your ears,yes it could
164,will it fit a traxxas stampede,perfectly
165,exactly what is the diameter,about a foot
166,are the balls metal or plastic,they are metal
167,are indies whiskers well printed,yes they are
168,how many webkinz can fit in it,only 1
169,is this doll made in chinathx,yes it is
170,do these balls fit the nerf reactor gun,sorry dont know
171,do these work in nerf guns that use ballistic balls,sorry not sure
172,how many inches is the doll,approx 14 inches
173,do these come in pinochle decks,unfortunately no
174,how tall is this figure,about seven inches
175,does it come with darts,it should
176,do you ship to uruguay argentina,sorry no
177,are the eyes material or plastic,they are plastic
178,dr who scene it game who scene it,sorry dont know
179,can she moove her legs sraight,dont know
180,the controllercharger is included with copter,yes they are
181,is the blower included with this product,yes it is
182,do the wagon seats fold to a flat surface,no they dont
183,does this work with regular sized marbles thank you,not at all
184,what is the wing span,exactly 32 inches
185,is it plastic or metal,it is plastic
186,does it fit the traxxas slash 2wd,oh yes definitely
187,how big it is i need its dimensions,6 inch
188,is the batery included,yes it was
189,are the inside of the elephants ears pink,yes they are
190,what is the size of this fairy,4 inches tall
191,what material are pegs made from,they are metal
192,if i buy 12 can you waive the shipping,sorry but no
193,how many pages are in one of these books,probably about 20
194,can this be a toy for 3 years old,oh yes definitely
195,how tall is the label part of the bottle,maybe 3 inches
196,which country are these bubbles made in,made in china
197,is this real 2 dollar bill,yes it is
198,what is the diameter,approximately 3 feet
199,are there any ancient cards,absolutely not
200,how tall is this,about 10
201,how tall is it,about 10 inches
202,height of side wall how high are the side walls,35 inches
203,how easily could servos be attached,easily
204,is it a 1 10 scale body,yes it is
205,how many blocks in the set,there are 14
206,what is the range,60 foot
207,is this a metal boat or plastic one,it is plastic
208,do you have the f 150 in green,sorry but no
209,can this battery be shipped to china thanks,sorry usa only
210,will this work in the champ rtf,yes it will
211,how tall does the ship measure,about 24 inches
212,do these tracks work with the city passenger train 7938,yes they do
213,can you tell me how high the counter is thanks,21 inches
214,are the trays removable for easy cleaning,yes they are
215,what is the height of the lawn mower handle,it is 55
216,wing span of model in inches,27 18 inches
217,what is the floor to counter measurement of this kitchen,22 inches
218,how tall is the piano,195 inches tall
219,is this the my pillow pets brand,yes it is
220,can track be hooked on to the end,unfortunately no
221,are these washable,yes they are
222,possible to change battery,yes very easy
223,are these for dampd,yes they are
224,are these dinosaurs stretchy,hard plastic
225,is it made in china,yes it is
226,what is the size of the cube itself,3x3 inches
