input ,reply
You have been late five times this month,No I wasn't
Did you submit the timesheet for the week,"No, not yet"
Could you tell me why I lost my bonus last month,I'm not clear
When is the Ethics and Compliance training due,Its due by end of this year
How are you doing today,"Good, thank you"
Meeting is scheduled for 14:00 hours this afternoon. Have you booked any conference room ,Yes
Can you all hear me okay,Not clear
Is everything ready for tomorrow's presentation ,yes
Is the report ready ,No. I need more time.
Can you take care of the meeting minutes and circulate among the team members. ,Sure will do.
Can I have the report completed by tomorrow,"Yes sure, will do"
Our meeting has been cancelled. ,"Okay, no problem!"
Did you not get the notice,I haven't
"You should often check your inbox. If not, you never know what are missing out",You are right
When is the status call again,on Monday
I would like to go over this report with you. Can we schedule a meeting tomorrow.,Sure! What time?
Did you go over the all hands presentation,Nope have not received it yet
Can you share the presentation with the team,Sure will do.
"Can you record this meeting please, we can refer the transcript later","Yes sure, will do"
Can you send me the activity tracker ,Yes I will send it now.
When is your last day at work,Its end of next week
Did you get the new laptop? Status shows shipped.,Yes got it
Let me know if you have any upcoming holiday plans,Will update in the holiday 
Do you any backup plan for the days you are on leave,Yes I do
Can you make a knowledge transition plan for Teresa,Yes I'm on it
Have you implemneted this task,"No, I did not"
Servers are down. Did anyone contact the tech support guys?,"Yes, I did"
Did you finish the Compliance training ,Not yet.
Have you installed all the softwares and tools required for the job?,"Yes, I'm all set"
When are you going to come in tomorrow ?,Morning
When are you going to come in tomorrow ?,Noon
When are you going to come in tomorrow ?,I can't
Lets hang out this weekend ,Sure! What time?
My microphone's not working. ,Can you dropoff and rejoin 
My microphone's not working. ,Can you dropoff and rejoin 
Let me connect to my headset ,Sure
Meeting is going to start. Can you send out the agenda,Yes I can
Lets take a break over a cup of coffee,Ok
Can you send over the campaign brief,Yes I will send it now.
Can you send over the campaign brief,Will send it in few hours.
Hey want to grab dinner,Sure! What time?
What are you up to?,I'm working
Want to hang out,I'd love to
"It was a great meeting, Can you send the minutes of meeting",Sure will do.
I need to get some training on Power BI. Where can I look for useful resources?,company learning portal. 
